age,sexe,vols_betail,injustice,mal_gouvernance,religion,pauvrete,mimetisme,politique,ignorance,probleme_education,egoisme,conflit_ethnique,chomage,orgueil
35,Femme,1,5,4,2,3,4,5,5,6,5,5,4,1
19,Femme,4,5,5,1,7,3,5,4,5,4,3,2,3
45,Femme,3,6,2,4,1,6,7,4,2,2,6,4,3
61,Homme,5,3,7,1,4,4,4,3,6,5,2,3,7
29,Homme,6,6,4,2,7,1,5,5,5,4,4,4,6
40,Homme,4,5,3,4,5,6,4,1,5,3,7,1,7
59,Homme,3,7,4,1,1,3,7,2,5,5,4,1,2
64,Homme,4,6,3,7,5,4,1,2,7,6,2,1,2
57,Homme,1,1,5,7,3,7,3,1,1,1,5,2,1
70,Homme,5,7,7,7,2,7,5,6,7,3,6,1,2
28,Femme,1,3,4,3,2,6,4,6,2,5,1,2,6
57,Homme,3,7,2,3,3,1,7,7,2,6,2,4,6
65,Homme,3,5,2,5,4,3,5,4,5,5,4,3,5
70,Homme,6,7,2,5,4,6,7,4,3,1,6,3,6
34,Femme,1,4,2,4,1,3,7,3,1,3,6,5,2
35,Homme,6,4,4,3,1,2,5,1,7,4,2,3,1
16,Femme,3,1,6,5,6,5,1,6,7,5,3,7,6
32,Homme,5,4,3,3,4,7,4,2,2,4,5,2,7
42,Homme,4,3,1,2,3,5,7,2,2,4,2,7,2
63,Femme,7,5,6,3,7,3,7,3,5,5,3,7,3
23,Homme,3,2,2,6,7,1,7,3,6,4,7,3,3
30,Homme,3,1,3,1,7,4,5,2,6,6,1,2,6
50,Homme,6,3,7,6,2,6,3,3,6,1,3,6,4
16,Femme,1,6,2,6,3,7,3,6,2,5,7,5,4
41,Homme,7,7,7,2,5,5,3,6,5,1,6,2,6
23,Homme,1,2,2,6,5,7,2,7,6,7,5,4,3
43,Femme,2,4,4,5,6,3,4,1,7,2,4,3,5
54,Femme,5,6,2,1,7,5,6,1,3,4,5,2,5
14,Femme,4,2,7,5,1,1,2,3,7,4,4,7,1
29,Homme,3,3,3,1,3,1,3,1,1,4,7,7,2
52,Homme,2,7,3,3,6,7,7,1,2,4,2,6,7
68,Homme,5,4,5,7,7,5,4,5,7,5,7,7,5
25,Homme,2,2,1,1,3,7,6,7,4,3,6,4,7
32,Homme,6,1,7,1,3,4,5,3,2,6,5,2,2
66,Homme,5,3,1,3,4,6,7,6,5,4,3,2,7
58,Homme,7,6,6,3,4,5,6,3,6,2,7,1,3
51,Femme,4,7,1,7,7,1,1,4,4,6,5,5,3
41,Homme,5,6,6,2,5,6,3,2,7,1,6,7,7
16,Homme,7,4,7,2,5,3,5,5,5,3,5,4,1
49,Homme,2,4,1,5,4,2,3,3,7,6,6,3,5
13,Homme,4,7,3,3,3,3,1,7,2,5,2,1,1
27,Homme,3,7,1,4,6,5,1,7,1,2,2,3,4
66,Femme,2,7,5,2,5,4,4,7,7,1,2,7,4
23,Femme,4,7,5,3,2,1,5,5,2,5,6,2,6
36,Femme,2,7,2,5,5,2,3,1,5,7,4,5,3
69,Homme,6,5,7,6,1,7,1,4,6,7,2,2,1
28,Homme,2,3,2,7,6,3,2,7,5,1,3,2,6
36,Homme,1,3,6,2,7,2,3,3,1,6,1,5,4
68,Femme,4,2,1,6,4,5,1,7,7,5,3,1,6
48,Homme,7,1,3,1,2,6,3,7,7,3,2,2,2
60,Homme,4,3,7,3,1,1,5,3,3,7,3,4,5
47,Homme,2,3,1,3,7,6,7,6,7,4,5,7,3
43,Femme,1,7,4,2,1,4,3,6,4,4,7,4,6
47,Homme,3,2,4,2,2,3,1,6,4,6,7,6,7
15,Femme,1,4,7,6,4,5,7,7,5,6,1,1,7
50,Homme,5,2,3,3,6,7,7,2,5,7,4,7,2
35,Homme,7,4,7,7,7,3,5,5,4,5,1,7,2
23,Homme,7,6,1,5,2,2,7,6,6,5,5,1,7
13,Homme,2,3,6,5,1,6,5,2,4,3,6,1,2
50,Femme,5,3,2,1,7,7,7,5,3,7,3,4,4
25,Homme,3,4,2,1,5,4,7,7,4,5,2,7,3
32,Homme,1,2,1,1,2,6,3,3,2,1,3,7,7
37,Homme,1,7,3,1,2,4,6,5,5,6,7,1,4
62,Homme,7,6,2,5,7,4,1,7,7,1,7,6,7
56,Homme,6,6,4,4,1,7,4,1,7,3,6,5,2
46,Homme,1,5,6,5,3,6,7,1,3,3,1,6,5
49,Femme,6,1,2,1,1,1,6,3,5,7,2,3,2
68,Femme,6,7,2,3,2,2,4,2,4,7,4,7,6
19,Homme,3,4,6,6,7,3,4,1,4,4,6,4,1
61,Homme,4,5,1,2,5,4,6,2,6,3,2,5,5
30,Homme,6,2,2,2,2,1,3,1,4,5,5,2,7
17,Homme,3,4,3,3,1,7,1,4,5,4,4,4,7
56,Femme,1,2,2,1,3,6,6,1,4,6,5,7,7
46,Femme,5,7,4,2,1,2,3,2,7,4,2,3,7
16,Homme,2,7,4,2,5,2,2,4,6,7,2,6,5
50,Femme,2,6,7,2,6,4,7,5,4,1,4,3,6
14,Homme,2,5,1,4,7,2,7,3,4,4,6,6,2
57,Femme,5,6,2,4,5,4,1,6,1,4,1,3,1
25,Homme,2,5,3,1,2,5,4,6,3,2,2,4,1
12,Homme,4,5,4,6,1,7,1,3,1,7,6,1,3
29,Homme,7,5,1,6,7,1,5,3,5,3,4,1,1
14,Homme,6,1,5,1,2,4,3,7,5,6,4,5,6
29,Homme,6,2,2,4,6,4,7,2,1,4,5,4,3
58,Homme,2,3,1,6,1,3,4,2,7,2,5,4,6
47,Homme,1,1,6,1,1,4,2,5,6,5,3,7,4
47,Homme,5,6,7,2,6,4,5,4,5,2,7,3,4
35,Homme,4,6,5,7,3,5,4,4,2,6,5,3,2
44,Homme,6,3,2,5,7,4,7,4,6,1,2,7,7
69,Homme,5,1,5,2,6,2,5,2,5,1,7,1,6
28,Homme,5,3,4,7,1,1,4,7,3,1,5,2,4
64,Femme,7,6,6,1,6,2,2,2,3,4,3,5,3
27,Homme,7,7,4,6,4,7,3,5,2,4,2,4,1
67,Homme,1,5,4,5,5,7,1,5,7,7,3,5,2
15,Homme,1,5,2,4,1,1,7,2,5,4,6,7,1
27,Femme,7,6,3,3,6,7,7,1,3,6,5,5,1
37,Femme,7,2,4,4,5,6,4,6,3,2,4,5,6
52,Homme,1,4,5,4,7,6,2,6,3,5,3,3,4
50,Femme,3,5,2,2,3,5,2,6,5,3,5,1,6
69,Homme,4,7,5,6,7,1,1,5,6,5,5,5,6
64,Homme,1,2,6,7,5,1,5,1,5,5,7,3,3
25,Homme,1,6,5,3,7,3,7,1,2,5,6,4,6
55,Homme,4,7,1,6,3,1,1,1,5,6,7,1,4
16,Homme,1,4,6,5,5,4,3,1,3,1,3,1,3
63,Homme,5,6,4,4,3,6,5,2,1,5,7,2,5
41,Homme,2,5,6,4,4,3,7,4,4,3,5,2,7
39,Femme,4,1,5,3,2,6,1,6,2,1,6,1,4
59,Homme,4,1,3,1,3,3,1,6,2,4,3,1,6
29,Femme,1,2,6,7,1,7,3,3,1,6,7,1,4
41,Homme,4,4,7,7,1,4,2,3,7,2,2,3,4
41,Homme,2,7,3,1,4,6,4,5,6,2,1,1,6
59,Homme,5,6,1,7,7,6,3,1,7,3,2,7,6
35,Homme,4,6,2,6,7,3,6,7,2,4,3,7,7
67,Homme,1,2,2,5,2,2,6,1,3,6,7,4,1
24,Homme,3,5,2,2,4,6,4,1,3,6,4,3,6
27,Femme,2,4,2,2,1,2,4,7,2,6,5,4,2
43,Homme,2,7,5,5,3,6,6,4,4,1,4,4,6
52,Femme,2,6,1,1,1,4,6,7,4,2,3,3,2
38,Homme,6,6,7,6,7,6,7,1,3,6,4,2,7
26,Homme,5,5,1,7,7,6,6,7,5,2,1,1,2
55,Femme,7,7,3,5,6,6,1,5,2,2,3,1,3
35,Homme,4,6,3,7,5,3,6,6,4,1,1,3,6
18,Homme,5,6,6,1,1,3,5,2,4,3,2,4,6
48,Homme,4,7,2,3,6,1,6,7,1,3,3,7,6
65,Homme,2,6,6,3,2,4,3,6,2,3,1,5,1
62,Homme,6,3,3,5,7,7,5,5,6,3,6,6,7
61,Femme,5,5,6,1,6,6,4,6,1,5,2,6,4
18,Homme,1,7,6,4,3,3,1,6,6,2,4,3,6
66,Homme,4,1,1,3,3,2,5,4,1,7,7,7,6
65,Homme,7,4,6,2,3,2,5,7,5,4,1,3,4
47,Femme,3,6,3,6,7,3,6,7,4,3,6,6,3
27,Femme,3,1,3,4,6,6,7,2,1,2,6,7,6
13,Homme,3,3,5,1,4,3,6,5,4,6,5,3,3
55,Homme,4,2,2,5,4,2,6,4,1,3,7,7,2
62,Homme,1,4,5,1,5,4,1,1,1,2,7,4,1
67,Homme,4,3,7,5,6,1,4,2,5,6,6,6,6
66,Femme,7,4,7,3,3,3,4,2,4,3,5,3,6
46,Femme,6,7,4,3,4,2,4,4,3,6,2,4,2
43,Homme,3,5,3,7,5,1,5,7,1,2,2,7,4
19,Homme,7,5,4,7,4,1,5,1,3,4,7,3,2
20,Homme,6,6,4,5,2,1,6,4,5,7,5,7,3
60,Femme,6,3,6,1,1,3,2,1,6,3,5,1,5
16,Homme,1,7,5,2,3,6,7,3,7,4,2,1,3
16,Femme,1,4,2,2,3,1,1,3,3,3,2,4,1
55,Homme,6,2,3,6,4,7,1,2,4,6,1,5,5
46,Femme,6,5,4,7,7,4,2,6,1,2,3,1,5
24,Femme,2,1,7,2,1,4,1,1,5,5,4,4,2
39,Homme,6,7,5,7,3,6,3,4,6,6,5,5,7
55,Homme,4,6,7,3,4,1,3,5,4,2,4,3,1
52,Homme,4,1,5,5,1,1,5,5,2,7,5,1,4
27,Homme,4,6,2,6,1,1,7,3,4,5,4,1,5
37,Homme,6,7,7,1,1,3,6,4,1,1,6,1,7
41,Homme,7,2,1,5,1,3,5,5,5,6,3,5,7
43,Homme,2,1,6,5,4,4,3,6,7,1,4,5,1
58,Homme,2,4,1,1,5,7,7,4,6,3,2,7,6
44,Homme,6,4,4,6,2,3,7,2,1,4,7,2,7
60,Femme,5,4,3,7,5,4,6,1,6,3,3,7,6
49,Homme,1,7,5,2,5,5,2,1,7,3,2,7,2
41,Homme,3,1,7,1,3,2,6,7,7,1,4,1,3
50,Homme,2,7,6,2,3,5,2,1,2,4,2,6,4
58,Homme,7,5,5,6,4,5,2,5,7,3,4,5,4
47,Homme,4,2,1,5,4,5,4,2,4,3,5,3,1
57,Homme,5,4,3,3,7,3,3,7,6,6,2,2,3
51,Homme,1,4,7,4,7,5,5,7,2,2,7,7,5
41,Homme,5,3,5,3,1,6,7,7,1,3,4,1,1
23,Femme,3,7,3,2,5,7,4,5,4,2,2,7,3
44,Homme,2,6,4,1,1,2,6,1,1,5,7,2,3
25,Homme,7,1,2,4,1,4,6,7,4,3,2,7,4
42,Homme,7,2,7,5,1,1,7,6,7,5,1,7,4
50,Homme,5,1,7,6,7,4,5,3,5,2,5,4,6
29,Homme,7,6,5,5,1,1,2,6,3,7,7,3,5
30,Homme,5,6,5,7,3,6,1,4,2,4,4,2,7
30,Homme,3,4,2,3,3,2,4,1,6,7,4,7,1
66,Homme,2,2,6,4,1,4,4,6,2,6,2,3,7
16,Homme,3,6,6,6,7,4,4,6,6,1,3,5,1
18,Homme,3,4,1,4,5,6,5,5,1,7,3,2,3
51,Homme,5,3,2,7,1,4,5,2,3,5,1,5,1
18,Homme,6,4,2,5,3,5,3,1,3,4,2,5,1
13,Femme,5,6,7,6,4,7,5,4,5,5,1,7,6
39,Femme,1,2,3,6,6,6,6,2,1,1,1,3,5
53,Homme,1,4,7,6,3,4,5,6,5,6,5,6,5
70,Homme,3,5,1,5,4,3,1,7,7,6,2,5,3
12,Homme,4,5,5,6,3,3,2,5,5,6,2,3,4
64,Homme,3,7,4,2,2,7,4,2,7,5,7,1,3
15,Homme,1,1,2,7,7,7,7,7,7,5,2,1,3
23,Homme,1,6,4,4,4,6,6,5,2,4,4,4,1
45,Homme,6,3,4,4,5,1,2,2,3,4,3,4,2
43,Homme,4,1,6,2,2,4,1,7,3,2,6,7,7
20,Homme,7,5,3,7,1,6,7,5,4,1,2,4,1
51,Homme,7,5,1,3,4,1,6,4,5,7,6,7,1
16,Homme,5,5,6,3,7,4,1,6,1,1,1,1,7
50,Femme,2,4,4,2,5,5,3,3,5,3,5,3,5
26,Homme,1,5,2,4,2,3,7,3,6,4,6,2,3
30,Homme,4,7,5,7,2,5,2,5,5,7,3,4,1
34,Homme,4,6,3,2,2,2,5,6,3,5,6,5,3
37,Homme,6,2,5,7,4,3,4,4,6,1,1,2,3
59,Homme,4,1,3,5,4,1,3,7,2,1,2,3,5
33,Homme,6,1,5,4,5,1,6,3,1,4,7,1,7
34,Homme,7,1,2,7,4,4,5,5,2,2,1,3,2
40,Homme,7,3,7,3,5,3,2,6,6,6,4,1,5
42,Homme,2,4,7,2,1,1,6,4,6,4,3,6,2
31,Homme,4,7,3,2,1,7,2,1,1,4,4,5,5
41,Homme,7,5,1,3,1,3,4,1,2,5,3,4,2
57,Homme,2,1,4,7,7,7,7,1,1,4,6,5,3
57,Femme,5,6,7,4,4,7,4,2,2,5,3,4,1
67,Homme,4,1,3,4,7,6,5,5,5,4,3,2,5
39,Femme,2,7,5,3,2,7,2,5,4,5,2,7,1
23,Femme,6,4,4,2,7,4,5,7,1,2,6,3,3
30,Femme,5,7,3,3,3,6,6,7,5,5,5,6,2
26,Femme,3,5,3,3,7,5,2,2,2,2,6,4,1
49,Homme,4,4,2,5,6,2,4,5,7,4,4,3,4
37,Homme,4,7,5,3,4,7,3,2,3,5,3,3,4
65,Femme,2,3,3,7,4,2,1,5,4,6,6,5,2
40,Homme,1,1,5,1,5,7,1,1,6,3,4,4,2
52,Homme,5,3,1,5,5,4,2,7,3,4,5,4,1
45,Homme,2,7,5,3,7,1,7,2,4,3,3,7,5
16,Femme,7,4,3,2,4,3,5,7,6,4,4,5,6
61,Homme,4,1,2,7,6,7,3,3,2,2,5,6,6
50,Femme,3,3,3,1,1,4,3,4,3,3,4,2,4
15,Homme,1,2,1,2,7,4,6,5,5,7,2,6,6
33,Femme,5,1,5,3,7,3,1,2,1,6,5,5,4
22,Homme,4,2,4,4,1,1,6,2,4,2,6,6,1
46,Femme,2,1,2,1,1,4,3,3,2,4,5,1,6
18,Homme,1,7,3,3,2,3,3,6,6,6,2,2,2
67,Homme,6,4,3,3,4,4,5,4,5,1,3,4,3
26,Homme,1,5,5,7,1,7,5,6,4,1,3,3,3
33,Homme,4,5,1,5,1,7,1,3,6,7,6,7,2
55,Homme,6,5,5,7,4,3,1,6,3,6,6,1,6
55,Homme,4,7,4,7,5,4,7,4,3,7,3,2,6
67,Homme,2,2,6,3,1,4,2,1,3,7,5,5,1
63,Femme,3,1,3,2,2,3,1,6,1,5,3,6,7
40,Homme,1,2,4,2,6,1,3,4,3,3,3,4,6
30,Femme,6,5,1,1,6,4,1,4,2,5,1,1,2
52,Homme,1,1,1,3,3,7,2,5,7,5,1,5,2
28,Homme,4,5,4,3,1,4,7,7,6,4,1,6,7
37,Homme,2,1,1,4,5,2,3,3,7,1,6,2,2
39,Homme,5,4,5,7,4,6,2,3,7,7,2,7,1
70,Homme,5,3,1,4,3,2,5,7,2,4,6,2,6
46,Homme,6,7,1,6,4,6,2,3,4,1,3,2,6
58,Homme,6,1,1,4,1,4,5,7,6,4,3,3,1
17,Femme,7,1,7,3,6,6,5,4,2,4,4,4,1
14,Femme,6,4,4,6,5,7,3,4,4,4,7,3,1
68,Femme,4,5,5,3,5,7,6,1,2,2,3,2,4
22,Homme,4,6,2,3,3,4,5,4,1,3,2,4,2
64,Femme,3,4,6,6,1,1,7,3,2,4,3,5,7
24,Femme,3,1,1,3,4,1,6,4,3,2,7,6,5
62,Femme,3,5,5,5,3,4,5,3,6,1,2,1,2
21,Homme,2,3,5,7,2,6,7,3,1,3,4,5,7
26,Femme,7,6,3,6,6,3,5,3,3,2,2,5,7
26,Femme,1,6,5,5,6,6,7,6,3,6,4,5,7
56,Homme,3,1,2,3,7,5,7,2,3,1,4,5,6
70,Homme,6,6,1,5,6,6,7,7,7,7,3,2,6
12,Homme,2,7,5,6,3,7,7,3,7,3,5,4,7
66,Homme,1,4,3,6,1,2,4,1,3,2,6,7,2
25,Homme,4,4,7,5,2,3,2,1,1,7,2,7,5
64,Femme,1,6,4,1,3,2,1,4,3,2,3,4,2
57,Homme,4,2,3,6,2,7,2,6,6,3,6,5,5
42,Femme,6,4,7,6,2,2,5,4,4,1,5,7,1
17,Homme,4,7,6,7,5,3,7,1,2,7,5,6,7
25,Homme,5,3,6,3,2,4,4,3,1,3,7,6,4
22,Homme,6,4,5,6,3,3,5,4,2,1,1,5,3
49,Homme,6,5,4,7,5,7,4,3,4,2,4,6,6
64,Femme,1,4,7,3,2,6,1,3,2,4,1,5,3
26,Homme,2,1,2,7,2,3,3,6,7,4,2,7,2
15,Femme,5,6,6,5,1,2,2,2,1,4,7,5,1
47,Homme,6,1,3,6,6,7,6,2,5,4,2,1,4
53,Homme,5,4,1,7,1,2,6,7,1,6,2,4,5
44,Femme,3,6,5,5,1,3,2,5,7,7,1,7,5
45,Homme,1,5,3,5,6,6,1,1,5,4,5,6,4
58,Homme,5,6,1,5,7,4,4,7,7,2,3,2,3
38,Femme,4,1,2,7,5,6,5,3,5,5,1,2,2
38,Homme,4,7,2,6,4,1,1,1,5,5,1,5,5
46,Homme,4,6,5,2,1,1,4,7,3,6,7,3,3
56,Homme,4,1,4,2,4,4,7,1,6,4,4,7,2
30,Femme,6,3,3,4,4,3,7,5,5,2,7,5,5
61,Homme,6,1,5,2,7,6,5,6,7,4,2,5,7
51,Homme,5,1,6,5,2,1,2,1,3,2,7,4,3
14,Homme,4,5,1,3,7,6,5,6,4,5,2,2,1
38,Homme,3,4,6,6,7,7,7,5,1,2,4,5,7
24,Homme,3,4,7,7,7,3,6,6,3,2,3,7,2
13,Femme,6,7,3,6,4,7,7,4,2,1,5,6,2
44,Homme,4,5,7,2,7,4,1,4,4,4,7,5,7
35,Homme,7,7,7,1,6,1,1,6,7,2,1,7,1
15,Femme,1,6,1,4,3,3,2,6,6,1,6,2,6
48,Homme,4,7,1,5,3,2,5,4,2,1,2,3,2
40,Homme,5,3,6,5,6,4,1,1,1,1,5,3,3
53,Homme,3,3,6,3,5,4,7,3,7,1,1,5,7
31,Homme,5,1,6,4,7,3,6,3,1,6,7,6,4
43,Homme,1,6,1,1,6,7,2,1,6,6,1,2,1
54,Homme,6,1,6,4,1,4,5,6,5,2,4,2,1
56,Homme,1,4,2,5,2,2,7,4,6,1,2,2,6
